file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
./data\170.txt,2950,464,1.0775862068965518,0.8620689655172413,1.0775862068965518,0.0,0.8620689655172413,0.8620689655172413,0.0,510.77586206896547,1,0,1.6810344827586208,4.849137931034483,227
./data\171.txt,1770,283,1.76678445229682,1.4134275618374559,1.0600706713780919,0.35335689045936397,1.0600706713780919,0.7067137809187279,1.4134275618374559,504.2402826855124,13,4,1.6395759717314489,4.968197879858657,163
./data\18.txt,8454,1350,2.4444444444444446,1.925925925925926,1.2592592592592593,0.07407407407407407,1.4814814814814816,1.037037037037037,0.07407407407407407,503.03703703703707,16,5,1.6096296296296295,4.904444444444445,528
./data\19.txt,11181,1654,2.2974607013301087,1.6928657799274487,1.2696493349455864,0.12091898428053204,0.42321644498186217,0.6650544135429262,0.48367593712212814,558.8875453446191,7,2,1.8331318016928657,5.5,671
./data\2.txt,4045,614,0.9771986970684038,1.4657980456026058,0.8143322475570033,0.0,0.8143322475570033,0.32573289902280134,0.32573289902280134,543.485342019544,0,0,1.763843648208469,5.355048859934853,316
./data\20.txt,10062,1564,1.5345268542199488,1.9820971867007673,1.0869565217391304,0.0,1.5984654731457801,1.0230179028132993,0.1918158567774936,513.6828644501279,37,12,1.661764705882353,4.969948849104859,560
./data\21.txt,10811,1642,1.705237515225335,1.7661388550548112,0.8526187576126675,0.42630937880633374,1.3398294762484775,0.6090133982947624,0.42630937880633374,529.8416565164434,107,32,1.700365408038977,5.130937880633374,671
./data\22.txt,7600,1195,1.6736401673640167,2.6778242677824267,1.2552301255230125,0.16736401673640167,1.00418410041841,0.6694560669456067,0.2510460251046025,514.979079497908,11,2,1.6543933054393305,5.063598326359832,537
./data\23.txt,4587,706,0.56657223796034,1.8413597733711047,0.56657223796034,0.0,3.6827195467422094,0.28328611898017,0.0,523.2294617563739,18,8,1.6742209631728044,5.123229461756374,288
./data\24.txt,9350,1472,1.970108695652174,3.4646739130434785,2.1059782608695654,0.06793478260869565,0.6793478260869565,1.5625,1.0190217391304348,516.5760869565217,14,3,1.689538043478261,5.108016304347826,555
./data\25.txt,4264,689,0.8708272859216255,2.1770682148040637,0.7256894049346879,0.14513788098693758,0.5805515239477503,0.29027576197387517,0.14513788098693758,500.0,13,5,1.5399129172714079,4.820029027576197,295
